 "Current-Month (Ticks)" "Risk Group" "Total 13-17" "Total 18-24" "Total 24-29" "Total 30-34" "Total 35-39" "Total 40-44" "Total 45-64" "Total Links" "Age Mixing Mat"
 0 5 0 0 0 0 0 0 0 6171 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 6 0 0 0 0 0 0 0 6171 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 1 6 18 41 47 110 121 334 6280 {{matrix:  [ [ 0 0 0 0 0 1 0 ][ 0 0 0 1 0 0 0 ][ 0 1 1 0 0 1 1 ][ 0 0 1 0 1 0 0 ][ 0 0 0 0 2 1 0 ][ 0 0 0 0 1 2 1 ][ 0 0 0 0 0 0 7 ] ]}}
 0 2 0 12 21 31 61 74 166 6280 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 1 1 0 ][ 1 0 0 0 1 1 0 ][ 0 0 0 0 0 1 1 ] ]}}
 0 3 9 44 119 157 277 369 967 6280 {{matrix:  [ [ 0 1 0 1 0 1 0 ][ 1 0 3 3 0 1 0 ][ 0 2 3 4 2 0 3 ][ 1 4 3 8 2 2 6 ][ 0 0 2 3 9 5 8 ][ 1 1 1 2 5 17 8 ][ 0 0 4 6 8 8 32 ] ]}}
 0 4 0 0 0 0 0 0 0 6280 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 5 0 0 0 0 0 0 0 6280 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 6 0 0 0 0 0 0 0 6280 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 1 6 20 41 48 111 121 337 6504 {{matrix:  [ [ 0 0 0 0 0 1 0 ][ 0 0 0 2 0 0 1 ][ 0 1 1 0 0 1 1 ][ 0 0 1 0 1 0 1 ][ 0 0 0 0 2 1 1 ][ 0 0 0 0 1 2 1 ][ 0 0 0 0 0 0 11 ] ]}}
 0 2 0 12 21 31 61 74 167 6504 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 1 1 0 ][ 1 0 0 0 1 1 0 ][ 0 0 0 0 0 1 3 ] ]}}
 0 3 9 47 123 163 283 376 979 6504 {{matrix:  [ [ 0 1 0 1 0 1 0 ][ 1 4 3 3 1 1 0 ][ 0 2 7 6 3 0 4 ][ 1 5 5 14 5 2 6 ][ 0 1 3 6 15 10 9 ][ 1 1 1 2 10 23 9 ][ 0 1 5 7 10 9 54 ] ]}}
 0 4 0 0 0 0 0 0 0 6504 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 5 0 0 0 0 0 0 0 6504 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 6 0 0 0 0 0 0 0 6504 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 1 6 20 41 50 112 121 340 6917 {{matrix:  [ [ 0 0 0 0 0 1 0 ][ 0 0 0 2 0 0 1 ][ 0 1 1 1 0 1 1 ][ 0 0 2 0 1 1 1 ][ 0 0 1 1 2 2 2 ][ 0 0 1 0 1 2 2 ][ 0 0 0 0 0 1 13 ] ]}}
 0 2 0 12 23 33 61 75 167 6917 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 1 1 0 ][ 0 0 1 0 1 0 0 ][ 0 0 0 0 1 1 0 ][ 1 0 0 0 2 1 0 ][ 0 0 0 0 0 1 5 ] ]}}
 0 3 11 52 127 166 291 384 993 6917 {{matrix:  [ [ 0 1 0 2 1 1 0 ][ 1 4 5 4 3 1 2 ][ 0 4 9 9 4 1 4 ][ 2 6 7 14 10 3 9 ][ 1 3 4 11 21 13 11 ][ 1 1 2 4 13 31 15 ][ 0 3 5 10 13 15 72 ] ]}}
 0 4 0 0 0 0 0 0 0 6917 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 5 0 0 0 0 0 0 0 6917 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 6 0 0 0 0 0 0 0 6917 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 1 6 20 41 51 115 122 342 7312 {{matrix:  [ [ 0 0 0 0 0 1 0 ][ 0 0 1 2 0 0 1 ][ 0 1 1 1 0 1 1 ][ 0 0 3 1 1 1 0 ][ 0 0 1 2 2 4 4 ][ 0 0 1 0 1 2 4 ][ 0 0 0 0 0 2 16 ] ]}}
 0 2 0 12 24 33 61 76 171 7312 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 1 0 0 1 1 0 ][ 0 0 1 0 1 0 0 ][ 0 0 0 0 1 1 0 ][ 1 0 0 0 3 1 0 ][ 0 0 0 0 1 2 7 ] ]}}
 0 3 11 58 130 175 303 393 1013 7312 {{matrix:  [ [ 0 1 0 2 1 1 0 ][ 1 4 7 7 4 2 2 ][ 0 6 11 12 5 1 4 ][ 2 9 9 23 14 4 9 ][ 1 4 5 14 33 16 14 ][ 1 2 2 5 17 37 26 ][ 0 3 5 9 17 26 103 ] ]}}
 0 4 0 0 0 0 0 0 0 7312 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 5 0 0 0 0 0 0 0 7312 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 6 0 0 0 0 0 0 0 7312 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 1 6 22 41 52 117 123 348 7583 {{matrix:  [ [ 0 0 0 0 0 1 0 ][ 0 0 1 3 0 1 1 ][ 0 1 1 1 0 1 1 ][ 0 0 4 1 1 1 0 ][ 0 0 2 3 2 4 4 ][ 0 0 1 0 3 2 5 ][ 0 0 0 0 0 4 22 ] ]}}
 0 2 0 12 24 33 62 78 172 7583 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 1 0 0 1 1 0 ][ 0 0 1 0 1 0 0 ][ 0 0 0 0 1 3 0 ][ 1 0 0 0 3 1 2 ][ 0 0 0 0 1 2 10 ] ]}}
 0 3 11 63 139 177 312 406 1031 7583 {{matrix:  [ [ 0 1 0 2 1 1 0 ][ 1 6 11 9 3 3 2 ][ 0 10 17 13 8 2 5 ][ 2 12 9 23 22 6 9 ][ 1 3 7 21 35 20 17 ][ 1 4 3 7 21 49 33 ][ 0 3 6 9 20 34 130 ] ]}}
 0 4 0 0 0 0 0 0 0 7583 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 5 0 0 0 0 0 0 0 7583 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 6 0 0 0 0 0 0 0 7583 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 1 7 25 44 53 120 126 350 7811 {{matrix:  [ [ 0 0 0 1 0 1 0 ][ 0 0 1 3 3 1 1 ][ 0 3 1 1 1 1 1 ][ 0 0 4 2 1 1 0 ][ 0 0 2 3 3 5 5 ][ 0 0 1 0 5 2 7 ][ 0 0 0 0 1 4 25 ] ]}}
 0 2 0 12 24 33 64 78 173 7811 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 2 0 0 0 0 ][ 0 1 0 0 1 1 0 ][ 1 0 1 0 1 0 0 ][ 0 1 0 0 1 4 1 ][ 1 0 0 0 3 1 2 ][ 0 0 0 0 1 2 12 ] ]}}
 0 3 12 65 145 181 322 414 1060 7811 {{matrix:  [ [ 0 1 0 3 1 1 0 ][ 1 6 12 11 3 5 2 ][ 0 11 19 17 11 2 5 ][ 3 14 13 24 28 6 9 ][ 1 5 11 27 38 25 23 ][ 1 6 3 7 26 57 41 ][ 0 3 6 9 27 44 181 ] ]}}
 0 4 0 0 0 0 0 0 0 7811 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 5 0 0 0 0 0 0 0 7811 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 6 0 0 0 0 0 0 0 7811 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 1 9 27 44 53 122 127 352 8046 {{matrix:  [ [ 0 0 0 2 1 1 0 ][ 0 0 2 3 3 1 2 ][ 0 3 1 2 1 1 1 ][ 0 0 4 2 1 1 0 ][ 0 0 1 4 5 6 7 ][ 0 0 1 0 5 2 8 ][ 0 0 0 0 1 6 25 ] ]}}
 0 2 0 12 23 35 65 79 174 8046 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 2 0 0 0 0 ][ 0 1 0 0 0 1 0 ][ 2 0 2 0 2 0 0 ][ 0 1 0 0 2 4 1 ][ 1 0 0 0 4 1 2 ][ 0 1 0 0 2 3 12 ] ]}}
 0 3 14 69 152 190 325 421 1082 8046 {{matrix:  [ [ 2 1 1 3 1 1 0 ][ 1 10 13 13 3 5 2 ][ 1 13 23 20 11 3 8 ][ 3 16 16 30 28 10 9 ][ 2 5 11 27 43 30 24 ][ 1 6 4 11 31 59 51 ][ 0 3 9 9 29 52 215 ] ]}}
 0 4 0 0 0 0 0 0 0 8046 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 5 0 0 0 0 0 0 0 8046 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 6 0 0 0 0 0 0 0 8046 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 1 13 30 45 53 125 127 357 8641 {{matrix:  [ [ 0 1 1 4 1 1 0 ][ 0 0 2 3 4 3 2 ][ 0 3 2 2 1 1 1 ][ 0 0 4 3 1 2 0 ][ 0 0 1 5 5 8 8 ][ 0 0 1 0 5 2 8 ][ 0 0 0 0 2 7 30 ] ]}}
 0 2 0 12 23 37 65 79 175 8641 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 2 0 0 0 0 ][ 0 1 0 0 0 1 0 ][ 2 0 2 1 3 0 0 ][ 0 1 0 0 1 4 2 ][ 1 1 0 1 5 1 3 ][ 0 1 0 0 2 3 15 ] ]}}
 0 3 14 75 157 195 327 428 1105 8641 {{matrix:  [ [ 2 1 1 3 1 1 0 ][ 2 10 18 15 4 7 2 ][ 2 18 30 23 11 2 8 ][ 5 18 19 28 32 11 9 ][ 2 7 11 31 44 36 25 ][ 1 9 3 12 38 61 60 ][ 0 3 9 9 31 61 245 ] ]}}
 0 4 0 0 0 0 0 0 0 8641 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 5 0 0 0 0 0 0 0 8641 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 6 0 0 0 0 0 0 0 8641 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 1 16 31 45 56 126 128 363 9269 {{matrix:  [ [ 0 2 1 5 2 1 0 ][ 0 0 1 4 4 4 2 ][ 0 3 2 3 1 0 1 ][ 0 0 3 4 2 4 0 ][ 0 0 2 8 6 9 6 ][ 0 0 1 1 5 3 9 ][ 0 0 0 0 3 9 35 ] ]}}
 0 2 0 12 23 41 66 79 175 9269 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 1 0 2 0 0 0 0 ][ 0 1 0 0 0 1 0 ][ 2 1 2 1 5 1 0 ][ 0 1 0 0 2 4 2 ][ 1 2 0 1 5 2 5 ][ 0 1 0 0 2 3 17 ] ]}}
 0 3 16 77 164 199 336 438 1140 9269 {{matrix:  [ [ 2 3 2 4 1 1 0 ][ 4 10 20 15 6 6 2 ][ 3 19 30 25 12 5 8 ][ 7 18 23 37 35 11 8 ][ 3 9 11 34 46 46 30 ][ 1 8 5 14 49 67 70 ][ 0 3 9 8 33 72 304 ] ]}}
 0 4 0 0 0 0 0 0 0 9269 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 5 0 0 0 0 0 0 0 9269 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 6 0 0 0 0 0 0 0 9269 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 1 15 34 48 48 118 121 392 9626 {{matrix:  [ [ 0 2 1 4 2 1 0 ][ 0 1 2 3 5 4 3 ][ 0 3 3 3 2 0 2 ][ 1 0 3 5 2 4 1 ][ 0 0 2 6 8 6 7 ][ 0 0 1 1 4 6 9 ][ 0 0 0 0 3 5 45 ] ]}}
 0 2 1 12 23 32 64 76 190 9626 {{matrix:  [ [ 0 0 0 1 0 0 0 ][ 1 0 2 0 0 0 0 ][ 0 1 0 0 0 1 0 ][ 1 1 1 2 4 1 0 ][ 0 2 1 0 3 3 2 ][ 1 2 0 1 3 5 2 ][ 0 1 1 1 2 2 25 ] ]}}
 0 3 17 82 170 178 313 421 1253 9626 {{matrix:  [ [ 2 3 3 4 1 1 0 ][ 4 11 22 14 7 8 2 ][ 4 22 37 27 13 7 10 ][ 7 16 26 37 33 11 11 ][ 3 10 12 33 41 53 29 ][ 1 10 7 14 55 83 68 ][ 0 4 11 11 33 72 388 ] ]}}
 0 4 0 0 0 0 0 0 0 9626 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 5 0 0 0 0 0 0 0 9626 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 6 0 0 0 0 0 0 0 9626 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 1 12 36 44 61 123 122 394 10147 {{matrix:  [ [ 0 1 2 4 2 1 0 ][ 0 2 2 3 6 4 4 ][ 0 2 6 3 2 0 2 ][ 1 0 2 7 2 6 3 ][ 0 0 2 7 10 8 7 ][ 0 0 1 1 4 8 9 ][ 0 0 0 1 5 7 52 ] ]}}
 0 2 1 10 20 38 65 78 190 10147 {{matrix:  [ [ 0 0 0 1 0 0 0 ][ 0 1 1 0 0 0 0 ][ 0 1 1 0 0 1 0 ][ 1 1 1 3 4 1 1 ][ 0 2 1 0 4 3 3 ][ 1 2 0 2 3 6 3 ][ 0 1 1 1 2 2 26 ] ]}}
 0 3 15 86 159 199 326 429 1253 10147 {{matrix:  [ [ 2 5 4 4 1 1 0 ][ 6 15 23 17 8 9 3 ][ 6 23 37 26 14 8 10 ][ 7 19 26 40 37 12 11 ][ 3 12 13 36 50 59 36 ][ 1 11 8 16 63 86 73 ][ 0 6 11 13 39 76 420 ] ]}}
 0 4 0 0 0 0 0 0 0 10147 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 5 0 0 0 0 0 0 0 10147 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
 0 6 0 0 0 0 0 0 0 10147 {{matrix:  [ [ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ][ 0 0 0 0 0 0 0 ] ]}}
