 "Risk group" "Current-Month (Ticks)" "Total infected (index and non-index)" "Total infected (non-index)" "Total infected and alive (index and non-index)" "Total infected and alive (non-index)" "" "" "Care continuum stage" "Care continuum stage" "Care continuum stage" "Care continuum stage" "Care continuum stage" "Care continuum stage" "" "Annual incidence / total prevalence" "" "Annual diagnosis / diagnosed prevalence" "" "Number new infections" "" "" "Annual incidence by age group" "Annual incidence by age group" "Annual incidence by age group" "Annual incidence by age group" "Annual incidence by age group" "" "number newly diagnosed" "CD4 at diagnosis distribution" ">500" "350 - 500" "200 - 350" "<200" "" "" "Annual diagnosis by age group" "Annual diagnosis by age group" "Annual diagnosis by age group" "Annual diagnosis by age group" "Annual diagnosis by age group" "" "" "Annual incidence / total prevalence in age group" "Annual incidence / total prevalence in age group" "Annual incidence / total prevalence in age group" "Annual incidence / total prevalence in age group" "Annual incidence / total prevalence in age group" "" "" "Annual diagnosis / diagnosed prevalence in age group" "Annual diagnosis / diagnosed prevalence in age group" "Annual diagnosis / diagnosed prevalence in age group" "Annual diagnosis / diagnosed prevalence in age group" "Annual diagnosis / diagnosed prevalence in age group" "" "" "Total prevalence by age group" "Total prevalence by age group" "Total prevalence by age group" "Total prevalence by age group" "Total prevalence by age group" "" "" "Diagnosed prevalence by age group" "Diagnosed prevalence by age group" "Diagnosed prevalence by age group" "Diagnosed prevalence by age group" "Diagnosed prevalence by age group"
 "Risk group" "Current-Month (Ticks)" "Total infected (index and non-index)" "Total infected (non-index)" "Total infected and alive (index and non-index)" "Total infected and alive (non-index)" "" "" "Acute" "Non-acute unaware" "Aware not in care" "Care no ART" "ART no VLS" "ART with VLS" "" "Annual incidence / total prevalence" "" "Annual diagnosis / diagnosed prevalence" "" "Number new infections" "" "" "<24" "25 - 34" "35 - 44" "45 - 54" ">=55" "" "number newly diagnosed" "CD4 at diagnosis distribution" ">500" "350 - 500" "200 - 350" "<200" "" "" "<24" "25 - 34" "35 - 44" "45 - 54" ">=55" "" "" "<24" "25 - 34" "35 - 44" "45 - 54" ">=55" "" "" "<24" "25 - 34" "35 - 44" "45 - 54" ">=55" "" "" "<24" "25 - 34" "35 - 44" "45 - 54" ">=55" "" "" "<24" "25 - 34" "35 - 44" "45 - 54" ">=55"
 1 0 40 0 40 0 "" "" 0 0.3 0.15 0.15 0.4 0 "" 1 "" 1 "" 40 "" "" 0.125 0.15 0.3 0.275 0.15 "" 28 "" 0.10714285714285714 0.2857142857142857 0.39285714285714285 0.21428571428571427 "" "" 1 0 0 0 0 "" "" 1.25 1.2 0.9230769230769231 1.1 0.75 "" "" "" 0 0 0 0 "" "" 0.1 0.125 0.325 0.25 0.2 "" "" 0 0.10714285714285714 0.32142857142857145 0.2857142857142857 0.2857142857142857
 2 0 29 0 29 0 "" "" 0 0.3448275862068966 0.1724137931034483 0.13793103448275862 0.3448275862068966 0 "" 1 "" 1 "" 29 "" "" 0.034482758620689655 0.1724137931034483 0.3103448275862069 0.3103448275862069 0.1724137931034483 "" 19 "" 0.05263157894736842 0.3684210526315789 0.3684210526315789 0.21052631578947367 "" "" 1 0 0 0 0 "" "" 1 1.25 1 0.9 1 "" "" "" "" 0 0 0 "" "" 0.034482758620689655 0.13793103448275862 0.3103448275862069 0.3448275862068966 0.1724137931034483 "" "" 0 0 0.3684210526315789 0.3684210526315789 0.2631578947368421
 3 0 131 0 131 0 "" "" 0 0.22900763358778625 0.16793893129770993 0.24427480916030533 0.35877862595419846 0 "" 1 "" 1 "" 131 "" "" 0.03816793893129771 0.13740458015267176 0.4732824427480916 0.2366412213740458 0.11450381679389313 "" 101 "" 0.19801980198019803 0.27722772277227725 0.25742574257425743 0.26732673267326734 "" "" 1 0 0 0 0 "" "" 1.6666666666666667 1.0588235294117647 1.087719298245614 0.7948717948717948 1 "" "" 50.5 0 0 0 0 "" "" 0.022900763358778626 0.1297709923664122 0.4351145038167939 0.29770992366412213 0.11450381679389313 "" "" 0.019801980198019802 0.0891089108910891 0.44554455445544555 0.297029702970297 0.1485148514851485
 4 0 0 0 0 0 "" "" "0" "0" "0" "0" "0" "0" "" 0 "" 0 "" 0 "" "" "" "" "" "" "" "" 0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
 5 0 0 0 0 0 "" "" "0" "0" "0" "0" "0" "0" "" 0 "" 0 "" 0 "" "" "" "" "" "" "" "" 0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
 6 0 0 0 0 0 "" "" "0" "0" "0" "0" "0" "0" "" 0 "" 0 "" 0 "" "" "" "" "" "" "" "" 0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
 1 0 40 0 40 0 "" "" 0 0 0.8 0.15 0.05 0 "" 1 "" 1 "" 40 "" "" 0.125 0.15 0.3 0.275 0.15 "" 40 "" 0.325 0.2 0.325 0.15 "" "" 0.8 0.05 0.1 0.05 0 "" "" 1.25 1.2 0.9230769230769231 1.1 0.75 "" "" 8 0.4 0.3076923076923077 0.2 0 "" "" 0.1 0.125 0.325 0.25 0.2 "" "" 0.1 0.125 0.325 0.25 0.2
 2 0 29 0 29 0 "" "" 0 0 0.8275862068965517 0.13793103448275862 0.034482758620689655 0 "" 1 "" 1 "" 29 "" "" 0.034482758620689655 0.1724137931034483 0.3103448275862069 0.3103448275862069 0.1724137931034483 "" 29 "" 0.27586206896551724 0.27586206896551724 0.3103448275862069 0.13793103448275862 "" "" 0.6896551724137931 0.13793103448275862 0.06896551724137931 0.10344827586206896 0 "" "" 1 1.25 1 0.9 1 "" "" 20 1 0.2222222222222222 0.3 0 "" "" 0.034482758620689655 0.13793103448275862 0.3103448275862069 0.3448275862068966 0.1724137931034483 "" "" 0.034482758620689655 0.13793103448275862 0.3103448275862069 0.3448275862068966 0.1724137931034483
 3 0 131 0 131 0 "" "" 0 0 0.6946564885496184 0.16030534351145037 0.061068702290076333 0.08396946564885496 "" 1 "" 1 "" 131 "" "" 0.03816793893129771 0.13740458015267176 0.4732824427480916 0.2366412213740458 0.11450381679389313 "" 131 "" 0.33587786259541985 0.22137404580152673 0.21374045801526717 0.22900763358778625 "" "" 0.7786259541984732 0.061068702290076333 0.0916030534351145 0.06870229007633588 0 "" "" 1.6666666666666667 1.0588235294117647 1.087719298245614 0.7948717948717948 1 "" "" 34 0.47058823529411764 0.21052631578947367 0.23076923076923078 0 "" "" 0.022900763358778626 0.1297709923664122 0.4351145038167939 0.29770992366412213 0.11450381679389313 "" "" 0.022900763358778626 0.1297709923664122 0.4351145038167939 0.29770992366412213 0.11450381679389313
